station_id,triplet,name,state,lat,lon,elevation_m
1037,1037:AK:SNTL,Nuka Glacier,AK,59.69804,-150.71163,374.9
1301,1301:AK:SNTL,Paradise Hill,AK,62.83329,-141.40918,612.6
986,986:AK:SNTL,Pargon Creek,AK,64.99619,-163.10514,27.4
1327,1327:AK:SNTL,Pilgrim Hot Springs,AK,65.09455,-164.92472,6.1
987,987:AK:SNTL,Port Graham,AK,59.35065,-151.84768,82.3
1177,1177:AK:SNTL,Prudhoe Bay,AK,70.28062,-148.89778,15.2
973,973:AK:SNTL,Rocky Point,AK,64.54988,-163.48399,54.9
1183,1183:AK:SNTL,Sagwon,AK,69.42417,-148.6925,304.8
1330,1330:AK:SNTL,Seven Mile,AK,65.93772,-149.8631,201.2
2044,2044:AK:SNTL,Spring Creek,AK,61.65653,-149.12926,179.8
1095,1095:AK:SNTL,Sugarloaf Mtn,AK,61.08042,-146.30202,161.5
955,955:AK:SNTL,Summit Creek,AK,60.61713,-149.53128,408.4
967,967:AK:SNTL,Susitna Valley High,AK,62.13245,-150.04391,109.7
1266,1266:AK:SNTL,Telaquana Lake,AK,60.98347,-153.91866,381.0
951,951:AK:SNTL,Teuchet Creek,AK,64.94763,-145.52079,475.5
2080,2080:AK:SNTL,Tok,AK,63.32529,-143.03834,499.9
1089,1089:AK:SNTL,Tokositna Valley,AK,62.62918,-150.7741,256.0
954,954:AK:SNTL,Turnagain Pass,AK,60.78043,-149.18325,566.9
952,952:AK:SNTL,Upper Chena,AK,65.09852,-144.93318,850.4
1090,1090:AK:SNTL,Upper Nome Creek,AK,65.3671,-146.592,762.0
1055,1055:AK:SNTL,Upper Tsaina River,AK,61.19112,-145.64807,527.3
308,308:AZ:SNTL,Baker Butte,AZ,34.45654,-111.40651,2243.3
1140,1140:AZ:SNTL,Baker Butte Smt,AZ,34.45552,-111.38262,2356.1
310,310:AZ:SNTL,Baldy,AZ,33.97845,-109.50357,2807.2
1212,1212:AZ:SNTL,Bar M,AZ,34.86142,-111.60497,1944.6
902,902:AZ:SNTL,Beaver Head,AZ,33.69115,-109.21685,2459.7
1143,1143:AZ:SNTL,Beaver Spring,AZ,36.32671,-109.05702,2816.4
1139,1139:AZ:SNTL,Chalender,AZ,35.26238,-112.06221,2139.7
416,416:AZ:SNTL,Coronado Trail,AZ,33.80418,-109.15352,2560.3
1121,1121:AZ:SNTL,Fort Valley,AZ,35.26773,-111.74479,2243.3
488,488:AZ:SNTL,Fry,AZ,35.07356,-111.84477,2200.7
511,511:AZ:SNTL,Hannagan Meadows,AZ,33.65352,-109.30877,2752.3
969,969:AZ:SNTL,Happy Jack,AZ,34.74594,-111.41219,2292.1
1271,1271:AZ:SNTL,Hawley Lake,AZ,33.97121,-109.76531,2526.8
519,519:AZ:SNTL,Heber,AZ,34.31254,-110.75433,2331.7
617,617:AZ:SNTL,Maverick Fork,AZ,33.92123,-109.45872,2807.2
640,640:AZ:SNTL,Mormon Mountain,AZ,34.94141,-111.51864,2283.0
1125,1125:AZ:SNTL,Mormon Mtn Summit,AZ,34.96942,-111.50868,2575.6
1127,1127:AZ:SNTL,Nutrioso,AZ,33.89791,-109.15465,2606.0
705,705:AZ:SNTL,Promontory,AZ,34.36848,-111.01088,2417.1
927,927:AZ:SNTL,Snowslide Canyon,AZ,35.34179,-111.65084,2962.7
861,861:AZ:SNTL,White Horse Lake,AZ,35.14189,-112.14966,2191.5
866,866:AZ:SNTL,Wildcat,AZ,33.74347,-109.48078,2392.7
877,877:AZ:SNTL,Workman Creek,AZ,33.81259,-110.91852,2142.7
301,301:CA:SNTL,Adin Mtn,CA,41.23583,-120.79192,1880.6
356,356:CA:SNTL,Blue Lakes,CA,38.60801,-119.92455,2456.7
1051,1051:CA:SNTL,Burnside Lake,CA,38.71943,-119.8942,2493.3
1067,1067:CA:SNTL,Carson Pass,CA,38.6927,-120.0022,2548.1
391,391:CA:SNTL,Cedar Pass,CA,41.58216,-120.30253,2151.9
977,977:CA:SNTL,Crowder Flat,CA,41.89318,-120.75202,1578.9
428,428:CA:SNTL,Css Lab,CA,39.32565,-120.36807,2100.1
446,446:CA:SNTL,Dismal Swamp,CA,41.99127,-120.18033,2246.4
462,462:CA:SNTL,Ebbetts Pass,CA,38.5497,-119.80468,2639.6
463,463:CA:SNTL,Echo Peak,CA,38.849,-120.0795,2331.7
473,473:CA:SNTL,Fallen Leaf,CA,38.93403,-120.0545,1905.0
1049,1049:CA:SNTL,Forestdale Creek,CA,38.68245,-119.9597,2453.6
1277,1277:CA:SNTL,Fredonyer Peak,CA,40.68799,-120.60805,2200.7
508,508:CA:SNTL,Hagans Meadow,CA,38.8519,-119.9374,2359.2
518,518:CA:SNTL,Heavenly Valley,CA,38.92431,-119.91641,2603.0
1050,1050:CA:SNTL,Horse Meadow,CA,38.83652,-119.88732,2615.2
539,539:CA:SNTL,Independence Camp,CA,39.45269,-120.29367,2124.5
540,540:CA:SNTL,Independence Creek,CA,39.49001,-120.28226,1962.9
541,541:CA:SNTL,Independence Lake,CA,39.42752,-120.31342,2542.0
574,574:CA:SNTL,Leavitt Lake,CA,38.27594,-119.61281,2926.1
575,575:CA:SNTL,Leavitt Meadows,CA,38.30367,-119.55111,2194.6
587,587:CA:SNTL,Lobdell Lake,CA,38.43745,-119.36572,2822.4
1331,1331:CA:SNTL,Lost Lakes,CA,38.64745,-119.95141,2633.5
633,633:CA:SNTL,Monitor Pass,CA,38.6683,-119.6087,2535.9
784,784:CA:SNTL,Palisades Tahoe,CA,39.18986,-120.26576,2441.4
697,697:CA:SNTL,Poison Flat,CA,38.50576,-119.62624,2356.1
724,724:CA:SNTL,Rubicon #2,CA,38.99927,-120.13139,2304.3
771,771:CA:SNTL,Sonora Pass,CA,38.31021,-119.6003,2673.1
